Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Jacob 1:4	5	preaching	preaching	preaching	preaching	preaching	preaching	preaching	preaching
Jacob 1:4	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	6	which	which	which	which	which	which	which	which
Jacob 1:4	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	7	was	was	was	was	was	was	was	was
Jacob 1:4	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	8	sacred	sacred	sacred	sacred	sacred	sacred	sacred	sacred
Jacob 1:4	8.01	,	,	,	,	,	,	,	,
Jacob 1:4	8.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	9	or	or	or	or	or	or	or	or
Jacob 1:4	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	10	revelation	revelation	revelation	revelation	revelation	revelation	revelation	revelation
Jacob 1:4	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	11	which	which	which	which	which	which	which	which
Jacob 1:4	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	12	was	was	was	was	was	was	was	was
Jacob 1:4	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	13	great	great	great	great	great	great	great	great
Jacob 1:4	13.01	,	,	,	,	,	,	,	,
Jacob 1:4	13.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	14	or	or	or	or	or	or	or	or
Jacob 1:4	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	15	prophesying	prophesying	prophesying	prophesying	prophesying	prophesying	prophesying	prophesying
Jacob 1:4	15.01	,	,	,	,	,	,	,	,
Jacob 1:4	15.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	16	that	that	that	that	that	that	that	that
Jacob 1:4	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	17	I	I	I	I	I	I	I	I
Jacob 1:4	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	18	should	should	should	should	should	should	should	should
Jacob 1:4	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	19	engraven	engraven	engraven	engraven	engraven	engraven	engraven	engraven
Jacob 1:4	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	20	the	the	the	the	the	the	the	the
Jacob 1:4	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	21	heads	heads	heads	heads	heads	heads	heads	heads
Jacob 1:4	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	22	of	of	of	of	of	of	of	of
Jacob 1:4	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	23	them	them	them	them	them	them	them	them
Jacob 1:4	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	24	upon	upon	upon	upon	upon	upon	upon	upon
Jacob 1:4	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	25	these	these	these	these	these	these	these	these
Jacob 1:4	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	26	plates	plates	plates	plates	plates	plates	plates	plates
Jacob 1:4	26.01	,	,	,	,	,	,	,	,
Jacob 1:4	26.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	27	and	and	and	and	and	and	and	and
Jacob 1:4	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	28	touch	touch	touch	touch	touch	touch	touch	touch
Jacob 1:4	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	29	upon	upon	upon	upon	upon	upon	upon	upon
Jacob 1:4	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	30	them	them	them	them	them	them	them	them
Jacob 1:4	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	31	as	as	as	as	as	as	as	as
Jacob 1:4	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	32	much	much	much	much	much	much	much	much
Jacob 1:4	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	33	as	as	as	as	as	as	as	as
Jacob 1:4	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	34	it	it	it	it	it	it	it	it
Jacob 1:4	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	35	were	were	were	were	were	were	were	were
Jacob 1:4	35.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	36	possible	possible	possible	possible	possible	possible	possible	possible
Jacob 1:4	36.01	,	,	,	,	,	,	,	,
Jacob 1:4	36.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	37	for	for	for	for	for	for	for	for
Jacob 1:4	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	38	Christ’s	Christ’s	Christ’s	Christ’s	Christ’s	Christ’s	Christ’s	Christ’s
Jacob 1:4	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	39	sake	sake	sake	sake	sake	sake	sake	sake
Jacob 1:4	39.01	,	,	,	,	,	,	,	,
Jacob 1:4	39.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	40	and	and	and	and	and	and	and	and
Jacob 1:4	40.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	41	for	for	for	for	for	for	for	for
Jacob 1:4	41.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	42	the	the	the	the	the	the	the	the
Jacob 1:4	42.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	43	sake	sake	sake	sake	sake	sake	sake	sake
Jacob 1:4	43.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	44	of	of	of	of	of	of	of	of
Jacob 1:4	44.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	45	our	our	our	our	our	our	our	our
Jacob 1:4	45.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	46	people	people	people	people	people	people	people	people
Jacob 1:4	46.01	:	:	:	:	;	.	.	.
Jacob 1:5	1	for	for	for	for	For	For	For	For
Jacob 1:5	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:5	2	because	because	because	because	because	because	because	because
Jacob 1:5	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:5	3	of	of	of	of	of	of	of	of
Jacob 1:5	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:5	4	faith	faith	faith	faith	faith	faith	faith	faith
Jacob 1:5	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:5	5	and	and	and	and	and	and	and	and
Jacob 1:5	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:5	6	great	great	great	great	great	great	great	great
Jacob 1:5	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:5	7	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety	anxiety
Jacob 1:5	7.01	,	,	,	,	,	,	,	,
Jacob 1:5	7.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:5	8	it	it	it	it	it	it	it	it
